Date,Open,High,Low,Close,Adj Close,Volume
2015-04-15,139.229996,139.380005,138.679993,139.080002,122.038185,177600
2015-04-16,139.179993,139.500000,138.789993,138.979996,121.950432,186500
2015-04-17,138.990005,139.029999,138.000000,138.429993,121.467827,253900
2015-04-20,138.740005,139.339996,138.639999,138.729996,121.731064,151600
2015-04-21,141.369995,141.899994,141.279999,141.330002,124.012482,365800
2015-04-22,141.470001,141.889999,141.169998,141.660004,124.302055,163600
2015-04-23,141.160004,141.279999,140.619995,141.029999,123.749237,393000
2015-04-24,141.259995,141.470001,140.979996,141.210007,123.907188,277500
2015-04-27,140.960007,141.250000,140.550003,140.660004,123.424583,273000
2015-04-28,142.179993,142.839996,141.600006,142.059998,124.653030,421900
2015-04-29,141.330002,142.470001,140.070007,140.789993,123.538635,282900
2015-04-30,140.000000,140.320007,138.710007,139.020004,121.985527,246800
2015-05-01,138.750000,139.960007,138.720001,139.960007,122.810341,247100
2015-05-04,139.789993,140.429993,139.580002,140.059998,122.898094,172000
2015-05-05,139.460007,139.800003,137.449997,137.550003,120.695663,266100
2015-05-06,137.320007,137.990005,136.500000,137.160004,120.353447,322500
2015-05-07,136.860001,138.059998,136.839996,137.919998,121.020302,208500
2015-05-08,139.500000,142.339996,139.369995,142.119995,124.705666,319400
2015-05-11,137.880005,138.360001,137.419998,137.449997,120.607895,756700
2015-05-12,137.509995,138.050003,137.000000,137.660004,120.792168,579400
2015-05-13,137.350006,137.940002,136.520004,136.619995,119.879608,359700
2015-05-14,137.729996,137.990005,136.960007,137.949997,121.046631,150400
2015-05-15,138.649994,139.389999,138.649994,139.369995,122.292641,177700
2015-05-18,139.389999,139.490005,139.149994,139.429993,122.345268,141300
2015-05-19,139.850006,140.240005,139.279999,139.529999,122.433044,223700
2015-05-20,139.199997,139.649994,138.770004,139.009995,121.976738,121000
2015-05-21,138.779999,139.550003,138.779999,139.440002,122.354065,141900
2015-05-22,137.979996,138.660004,137.910004,138.220001,121.283554,202800
2015-05-26,138.470001,138.470001,137.139999,137.699997,120.827271,293200
2015-05-27,138.720001,139.000000,138.309998,138.770004,121.766167,247000
2015-05-28,138.850006,139.960007,138.820007,139.740005,122.617310,220000
2015-05-29,138.740005,138.740005,137.509995,137.889999,120.993988,310600
2015-06-01,137.800003,137.979996,136.809998,137.240005,120.423637,280100
2015-06-02,136.740005,137.149994,136.470001,136.570007,119.835732,275900
2015-06-03,137.509995,137.880005,137.000000,137.440002,120.599129,240300
2015-06-04,136.929993,137.529999,136.630005,136.850006,120.081421,231000
2015-06-05,135.990005,135.990005,135.259995,135.509995,118.905609,167200
2015-06-08,133.580002,133.899994,132.619995,133.149994,116.834778,304900
2015-06-09,132.500000,132.740005,131.919998,132.300003,116.088951,236300
2015-06-10,133.839996,134.589996,133.729996,134.240005,117.791229,166200
2015-06-11,135.240005,135.509995,134.899994,135.179993,118.616043,152600
2015-06-12,135.449997,135.869995,135.089996,135.490005,118.888062,191400
2015-06-15,135.199997,135.830002,135.169998,135.509995,118.905609,292700
2015-06-16,135.699997,136.169998,135.509995,136.059998,119.388222,179200
2015-06-17,134.309998,135.089996,133.750000,134.869995,118.344032,344900
2015-06-18,133.500000,134.850006,133.500000,134.479996,118.001831,246300
2015-06-19,134.479996,134.619995,133.940002,134.020004,117.598198,179800
2015-06-22,135.160004,136.350006,135.160004,135.479996,118.879295,263100
2015-06-23,136.949997,137.250000,136.789993,137.100006,120.300774,270500
2015-06-24,136.009995,136.009995,135.330002,135.399994,118.809090,149000
2015-06-25,135.350006,135.509995,134.850006,134.869995,118.344032,180800
2015-06-26,135.339996,135.880005,135.149994,135.460007,118.861748,138900
2015-06-29,134.100006,134.130005,132.399994,132.449997,116.220566,191100
2015-06-30,134.220001,134.479996,133.550003,133.750000,117.361267,216300
2015-07-01,133.720001,133.839996,133.139999,133.600006,117.229660,157100
